HOME_TEAM_ID,VISITOR_TEAM_ID,SCORE_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,SCORE_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
60,54,110,0.453,0.588,0.326,22,43,113,0.432,0.621,0.333,25,60,0
59,41,131,0.526,0.833,0.432,35,44,122,0.523,0.846,0.267,22,37,1
56,50,134,0.512,0.757,0.513,36,49,124,0.489,0.815,0.359,20,38,1
49,52,123,0.461,0.871,0.326,27,47,108,0.464,0.571,0.35,21,45,1
55,47,105,0.5,0.588,0.371,30,41,87,0.409,1,0.207,19,42,1
44,50,124,0.537,0.714,0.583,31,47,115,0.442,0.778,0.227,22,41,1
39,49,115,0.471,0.824,0.452,27,41,99,0.463,0.889,0.281,22,41,1
54,66,126,0.478,0.824,0.294,33,41,158,0.581,0.788,0.533,37,36,0
53,46,102,0.452,0.773,0.257,29,39,111,0.444,0.889,0.517,20,49,0
37,58,121,0.533,0.765,0.333,29,48,104,0.419,0.737,0.3,23,42,1
48,52,110,0.5,0.909,0.432,30,38,96,0.422,0.647,0.341,24,44,1
51,43,118,0.489,0.769,0.414,26,38,124,0.472,0.926,0.417,27,48,0
41,61,111,0.548,0.75,0.269,32,45,105,0.481,0.607,0.387,24,34,1
59,63,110,0.457,0.789,0.243,30,39,118,0.511,0.731,0.304,24,44,0
62,56,97,0.43,0.739,0.4,20,39,105,0.488,0.667,0.389,14,44,0
57,42,112,0.512,0.609,0.368,27,38,132,0.545,0.769,0.444,35,45,0
55,40,117,0.464,0.935,0.323,26,44,107,0.482,0.692,0.409,26,39,1
65,43,105,0.423,0.786,0.333,25,36,110,0.429,0.871,0.344,25,56,0
61,66,125,0.524,0.793,0.471,27,42,113,0.488,0.719,0.323,25,37,1
64,46,115,0.463,0.8,0.333,25,52,116,0.415,0.871,0.379,28,48,0
38,58,128,0.495,0.857,0.444,32,67,75,0.305,0.733,0.182,15,45,1
51,47,96,0.42,0.682,0.259,20,54,106,0.472,1,0.316,23,33,0
45,59,104,0.411,0.68,0.265,21,45,134,0.574,1,0.375,38,49,0
44,42,130,0.533,0.833,0.395,31,58,92,0.352,1,0.25,17,39,1
57,50,107,0.394,0.85,0.39,26,50,109,0.439,0.742,0.326,21,49,0
39,52,95,0.432,0.6,0.361,29,51,93,0.417,0.524,0.316,21,45,1
40,54,117,0.466,0.935,0.2,23,45,113,0.437,0.72,0.413,26,41,1
60,41,110,0.413,0.75,0.356,26,44,111,0.461,0.737,0.385,31,51,0
56,62,115,0.475,0.533,0.361,28,51,109,0.494,0.682,0.452,16,38,1
52,46,110,0.429,0.842,0.444,26,52,102,0.43,0.667,0.341,20,40,1
64,38,87,0.355,0.813,0.235,20,44,116,0.444,0.81,0.487,26,57,0
48,47,113,0.494,0.9,0.455,31,39,107,0.456,0.8,0.275,20,38,1
53,41,114,0.525,0.783,0.462,31,35,95,0.434,0.75,0.238,10,44,1
61,57,105,0.398,0.643,0.333,28,43,114,0.529,0.462,0.563,31,47,0
66,37,91,0.391,0.704,0.111,23,54,113,0.455,0.75,0.385,25,45,0
